TABLE_NAME,TABLE_COMMENT,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,COLUMN_KEY,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,COLUMN_COMMENT
anonymous_board,,bno,int,int(11),PRI,NO,NULL,auto_increment,
anonymous_board,,bcnt,int,int(10),,YES,0,,
anonymous_board,,bcontent,varchar,varchar(255),,YES,NULL,,
anonymous_board,,bdate,datetime,datetime,,YES,NULL,,
anonymous_board,,bgroup,int,int(11),,NO,NULL,,
anonymous_board,,bindent,int,int(11),,NO,NULL,,
anonymous_board,,bpw,varchar,varchar(255),,YES,NULL,,
anonymous_board,,bstep,int,int(11),,NO,NULL,,
anonymous_board,,btitle,varchar,varchar(255),,YES,NULL,,
approval,,ap_no,int,int(11),PRI,NO,NULL,auto_increment,
approval,,ap_title,varchar,varchar(50),,YES,NULL,,
approval,,ap_content,longtext,longtext,,YES,NULL,,
approval,,ap_deleteflag,char,char(1),,YES,NULL,,
approval,,ap_docstatus,char,char(1),,YES,NULL,,
approval,,apdoc_no,int,int(11),,YES,NULL,,
approval,,ap_insertdate,datetime,datetime,,YES,NULL,,
approval,,mem_id,varchar,varchar(100),,YES,NULL,,
approval,,ap_signpath,varchar,varchar(200),,YES,NULL,,
approval,,ap_sign_url1,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_url2,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_url3,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_url4,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_url5,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_name1,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_name2,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_name3,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_name4,varchar,varchar(100),,YES,NULL,,
approval,,ap_sign_name5,varchar,varchar(100),,YES,NULL,,
approval,,ap_comment,varchar,varchar(100),,YES,NULL,,
approval,,final_sign,int,int(10),,YES,NULL,,
approval,,file_check,char,char(1),,YES,NULL,,
approval,,mem_name,varchar,varchar(10),,YES,NULL,,
approval_document,문서양식종류,apdoc_no,int,int(11),PRI,NO,NULL,auto_increment,문서양식번호
